purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(110565, 2212.5015197217053)","(110566, 1049.9071793403086)","(110905, 2561.4478074427866)",
"(16156, 2836.1787507807785)","(16495, 201.4201037287322)","(16496, 2889.7890292729076)",
"(148726, 2398.7023191247335)","(148727, 2273.2295923407596)","(149065, 2004.2879973405256)","(149066, 1853.7704771022793)"
"(24258, 1108.8036573388795)","(24259, 1944.596286117703)","(24597, 2941.2925325923356)",
"(65881, 2389.6567887197375)","(66219, 2980.6118146991316)","(66220, 615.2685909181145)",
"(27663, 2972.3292513869987)","(27664, 54.055682967168224)","(28003, 2954.382389062997)",
"(74987, 2249.4826506658355)","(75326, 985.4500707896598)","(75327, 2585.4471985710034)",
"(81474, 2006.369147586981)","(81475, 1705.470565634554)","(81813, 2555.0988498550814)","(81814, 2325.2389949445605)"
"(27305, 2420.6124482470327)","(27644, 650.0332852899957)","(27645, 2790.9442223072683)",
"(64833, 1471.7693218379936)","(65172, 1528.1479405968796)",,
"(25615, 2018.1114108647484)","(25616, 991.1641643887093)",,
"(11750, 1944.0249849016352)","(11751, 1958.7386658843611)","(12089, 2297.5086687853836)","(12090, 2310.63028895397)"
"(79400, 1867.6427270133074)","(79738, 2847.1471453750773)","(79739, 1247.6902602891614)",
"(68805, 2912.8669094745333)","(69143, 1759.2513385682057)","(69144, 1393.7479212610692)",
"(52720, 2953.502397338874)","(53059, 208.21070670273212)","(53060, 2810.550503321152)",
"(66865, 978.8882594916723)","(67204, 2020.9921749448297)",,
"(55682, 2046.3648640033307)","(56021, 1105.1817893649034)","(56022, 2731.0621526293367)",
"(74988, 2024.7797203618918)","(74989, 1008.4838090348235)","(75328, 2983.3739143802363)",
"(77024, 2241.7131013453445)","(77363, 853.9862245523351)","(77364, 2774.372807414384)",
"(73986, 2270.2157677600962)","(73987, 739.1514246496579)",,
"(55682, 2046.3648640033307)","(56021, 1105.1817893649034)","(56022, 2731.0621526293367)",
"(76348, 1772.5548331593893)","(76349, 1420.3632618580161)","(76687, 2989.2451757348986)","(76688, 2795.8333865077807)"
"(110565, 2212.480679669767)","(110566, 1051.9589802835621)","(110905, 2559.2628864429635)",
"(76010, 2312.350696890698)","(76348, 2760.407447767813)","(76349, 785.6026684992277)",
"(100471, 1567.6124607429133)","(100472, 2990.383390811442)","(100810, 1548.7016268485647)","(100811, 2979.8843917128947)"
"(35053, 2461.2083710339252)","(35392, 600.5728603838677)","(35393, 2803.7200531787466)",
"(56772, 1840.8063375785237)","(56773, 1188.2418611432545)",,
"(24951, 1968.8368950755273)","(24952, 1047.8050694540077)",,
"(72279, 2377.303059352388)","(72280, 662.5745088560844)","(72619, 2885.2115985528594)",
"(27340, 2861.861455225643)","(27341, 1701.3031912808053)","(27679, 2772.2612253375364)","(27680, 1547.096138244894)"
"(27667, 2667.872520071838)","(27668, 975.1162132277533)","(28007, 2199.458906101084)",
"(27668, 1765.6190334144676)","(27669, 2885.1355270262084)","(28007, 1493.755151545758)","(28008, 2726.7977687689668)"
"(71601, 2304.3511399433078)","(71602, 2347.092433783949)","(71940, 1913.982579264058)","(71941, 1963.3358535347986)"
"(62182, 1087.0323347531278)","(62183, 2416.5972362296634)","(62521, 2312.107115178832)",
"(77732, 913.5338174188946)","(77733, 2431.7160711975152)","(78071, 2455.70390316715)",
"(84131, 2074.526583971688)","(84132, 1274.8315322848182)","(84471, 2519.4212566855504)",
